Gene	Mechanism	Variants
EPCAM	AR	1
EPHB2	AR	2
ERBB3	AR	9
ERCC1	AR	2
ERCC2	AR	14
ERCC3	AR	2
ERCC4	AR	5
ERCC5	AR	4
ERCC8	AR	8
ESCO2	AR	1
ESR1	AR	4
ESR2	DN	1
ESRRB	AR	4
ETFA	AR	3
ETFB	AR	5
ETFDH	AR	33
ETHE1	AR	14
ETV6	DN	6
EXOSC2	AR	2
EXOSC3	AR	6
EYA1	HI	6
EYA4	HI	1
F10	AR	8
F13A1	AR	13
F7	AR	18
FADD	AR	2
FAH	AR	11
FAM126A	AR	1
FAM20C	AR	8
FAN1	AR	1
FANCD2	AR	7
FANCE	AR	1
FANCI	AR	8
FARS2	AR	15
FARSB	AR	7
FAS	DN	12
FBN1	HI	227
FBP1	AR	11
FBXL3	AR	1
FDX2	AR	1
FDXR	AR	7
FECH	AR	7
FERMT1	AR	1
FGB	AR	6
FGF10	HI	6
FGF12	GOF	2
FGFR1	GOF	59
FGFR2	GOF	72
FGG	AR	6
FKBP14	AR	1
FKRP	AR	23
FLCN	HI	2
FMO3	AR	7
FOLR1	AR	2
FOXC1	HI	14
FOXC2	GOF	3
FOXG1	HI	47
FOXP1	DN	10
FSHB	AR	2
FTCD	AR	1
FTO	AR	2
FUS	GOF	14
FXN	AR	5
FXYD2	DN	1
FYCO1	AR	1
FZD4	HI	11
GAA	AR	89
GABBR2	DN	6
GABRA1	DN	30
GABRA5	DN	3
GAD1	AR	2
GALC	AR	24
GALE	AR	11
GALK1	AR	4
GALM	AR	2
GALNS	AR	55
GALNT2	AR	2
GALNT3	AR	2
GALT	AR	131
GAMT	AR	11
GAN	AR	3
GATA3	HI	8
GATA4	HI	8
GATA6	GOF	6
GBA	AR	84
GBE1	AR	16
GCDH	AR	79
GFAP	GOF	6
GFER	AR	4
GFI1	DN	1
GFPT1	AR	8
GHRHR	AR	8
GINS1	AR	2
GLB1	AR	47
GLDC	AR	64
GLDN	AR	5
GLE1	AR	7
GLI3	HI	3
GLRX5	AR	4
GLUD1	GOF	11
GLUL	AR	3
GM2A	AR	4
GNA11	GOF	8
GNAO1	GOF	37
GNB3	AR	1
GNB5	AR	2
GNMT	AR	2
GNPTAB	AR	1
GNRHR	AR	14
GOT2	AR	3
GP1BB	AR	7
GPD1	AR	1
GPHN	AR	1
GPI	AR	10
GPIHBP1	AR	8
GPSM2	AR	1
GPT2	AR	5
GRHPR	AR	11
GRID2	AR	2
GRIK2	AR	2
GRIN2A	DN	47
GRIN2B	GOF	74
GRIN2D	GOF	2
GRM7	AR	2
GSR	AR	1
GSS	AR	5
GTF2E2	AR	2
GUCA1A	GOF	16
GUCY1A1	AR	1
GUSB	AR	20
GYG1	AR	1
GYS2	AR	2
HADH	AR	4
HADHA	AR	10
HADHB	AR	14
HARS2	AR	1
HCN4	DN	4
HERC2	AR	3
HEXA	AR	37
HEXB	AR	16
HFE	AR	1
HGD	AR	21
HIBCH	AR	9
HIKESHI	AR	2
HINT1	AR	10
HJV	AR	1
HMBS	HI	34
HMGCL	AR	5
HMGCS2	AR	2
HNF1B	HI	59
HNMT	AR	2
HOGA1	AR	14
HOXA13	GOF	1
HOXB1	AR	2
HPCA	AR	2
HPGD	AR	4
HRAS	GOF	33
HSD11B1	DN	2
HSD17B4	AR	9
IBA57	AR	9
ICOS	AR	1
IDH3A	AR	7
IDH3B	AR	2
IDUA	AR	32
IFIH1	GOF	33
IFNGR2	AR	1
IFT52	AR	3
IGF1	AR	2
IGHMBP2	AR	17
IL10RA	AR	3
IL11RA	AR	5
IL17RA	AR	1
IL21	AR	1
IL2RA	AR	2
IL36RN	AR	3
IL6R	AR	1
IL6ST	AR	2
IL7R	AR	7
INPP5E	AR	20
INPPL1	AR	4
INTS1	AR	1
ITGB2	AR	16
ITGB6	AR	4
ITK	AR	1
ITPA	AR	1
IVD	AR	3
IYD	AR	3
JAG1	HI	12
JAGN1	AR	3
JAK1	GOF	4
KANK2	AR	2
KANSL1	HI	1
KATNB1	AR	2
KCNA1	DN	12
KCNB1	DN	2
KCNE2	GOF	4
KCNH1	GOF	15
KCNH2	DN	22
KCNJ5	DN	1
KCNK4	GOF	2
KCNQ2	DN	214
KCNQ4	DN	22
KCNQ5	GOF	7
KIF5A	DN	15
KIF7	AR	1
KITLG	GOF	4
KL	AR	1
KLF1	DN	6
KLHL40	AR	4
KLHL41	AR	1
KLKB1	AR	2
KMT2A	HI	15
KMT2D	HI	8
KNL1	AR	1
KRAS	GOF	47
KREMEN1	AR	1
KRT16	DN	1
KYNU	AR	4
LAMA2	AR	5
LAMB1	AR	1
LARP7	AR	1
LCAT	AR	13
LCK	AR	1
LEMD3	HI	1
LEP	AR	3
LEPR	AR	1
LHB	AR	2
LHFPL5	AR	2
LHX3	AR	2
LHX4	HI	2
LIG4	AR	11
LIMS2	AR	1
LINGO1	AR	2
LIPA	AR	35
LIPT1	AR	3
LONP1	AR	8
LSS	AR	12
LYRM4	AR	1
MAB21L1	AR	1
MAD2L2	AR	1
MAG	AR	2
MALT1	AR	2
MAN1B1	AR	5
MAN2B1	AR	8
MAP2K1	GOF	42
MAP2K2	GOF	16
MCM5	AR	1
MCOLN1	AR	10
MCPH1	AR	4
MDH1	AR	1
MDH2	AR	3
MECR	AR	3
MED23	AR	6
MEF2C	HI	13
MEN1	HI	47
MERTK	AR	9
MET	AR	16
MGAT2	AR	6
MGME1	AR	1
MICU1	AR	1
MIP	DN	5
MLPH	AR	2
MLYCD	AR	3
MMAA	AR	9
MMAB	AR	11
MMACHC	AR	19
MMADHC	AR	3
MMP2	AR	3
MMP20	AR	4
MMUT	AR	88
MOCS2	AR	2
MOGS	AR	4
MORC2	GOF	14
MPO	AR	5
MRAS	GOF	4
MRE11	AR	1
MRPL3	AR	1
MRPL44	AR	1
MRPS14	AR	1
MRPS2	AR	3
MRPS22	AR	3
MRPS23	AR	1
MRPS28	AR	1
MRPS7	AR	1
MSRB3	AR	1
MSX1	HI	1
MTHFD1	AR	5
MTHFR	AR	42
MTHFS	AR	1
MTMR2	AR	1
MTOR	GOF	33
MTR	AR	2
MTRR	AR	2
MTTP	AR	6
MUSK	AR	7
MUTYH	AR	22
MYH9	DN	12
MYL1	AR	1
MYO5B	AR	6
MYOC	DN	16
MYT1L	HI	5
NADSYN1	AR	3
NAGA	AR	1
NAGS	AR	4
NAXE	AR	3
NCF1	AR	3
NCF2	AR	2
NCF4	AR	1
NDST1	AR	4
NDUFA10	AR	2
NDUFA13	AR	2
NDUFA2	AR	2
NDUFA9	AR	2
NDUFB3	AR	1
NDUFB8	AR	3
NDUFB9	AR	1
NDUFS1	AR	20
NDUFS2	AR	5
NDUFS3	AR	4
NDUFS4	AR	1
NDUFS6	AR	3
NDUFS7	AR	4
NDUFS8	AR	11
NDUFV1	AR	16
NDUFV2	AR	1
NECTIN4	AR	3
NF2	HI	6
NFASC	AR	1
NFE2L2	GOF	11
NFU1	AR	2
NGF	AR	1
NGLY1	AR	8
NHLRC2	AR	1
NIPBL	HI	49
NKX2-5	DN	9
NLRP3	GOF	22
NMNAT1	AR	34
NNT	AR	8
NOG	HI	16
NPC1	AR	72
NPC2	AR	4
NR3C1	DN	9
NR3C2	DN	8
NR5A1	DN	16
NRAS	GOF	26
NSD1	HI	56
NSMCE3	AR	1
NT5C3A	AR	3
NT5E	AR	1
NTNG2	AR	3
NTRK1	AR	15
NUP107	AR	2
NUP133	AR	3
NUP62	AR	1
OAT	AR	29
ORC1	AR	1
ORC4	AR	1
ORC6	AR	4
OSGEP	AR	13
OTULIN	AR	2
OTX2	DN	5
OXCT1	AR	7
P4HTM	AR	2
PADI3	AR	6
PAFAH1B1	HI	33
PAH	AR	257
PAK1	GOF	6
PANK2	AR	12
PAPSS2	AR	1
PARK7	AR	5
PAX2	HI	7
PAX6	HI	34
PAX8	DN	12
PBX1	HI	7
PC	AR	10
PCBD1	AR	2
PCCA	AR	8
PCK1	AR	1
PCNA	AR	2
PCSK9	GOF	15
PCYT1A	AR	6
PCYT2	AR	1
PDE4D	DN	6
PDE6C	AR	2
PDGFRB	GOF	9
PDHB	AR	12
PDX1	AR	5
PDXK	AR	3
PDYN	DN	2
PEPD	AR	8
PEX13	AR	2
PEX3	AR	2
PEX5	AR	2
PFKM	AR	4
PGAM2	AR	2
PGM1	AR	7
PGM3	AR	3
PHGDH	AR	6
PHKG2	AR	5
PHYH	AR	8
PI4KA	AR	1
PIK3CD	GOF	6
PKD1	HI	12
PKD2	HI	12
PLA2G4A	AR	2
PLA2G6	AR	41
PLA2G7	AR	1
PLAA	AR	1
PLCE1	AR	1
PLCG2	GOF	3
PLD1	AR	3
PLG	AR	7
PLOD3	AR	2
PMM2	AR	41
PMS2	AR	4
PNKP	AR	5
PNLIP	AR	1
PNP	AR	6
PNPO	AR	7
PNPT1	AR	14
POLR1C	AR	16
POLR3A	AR	21
POLR3B	AR	12
POMGNT1	AR	22
POP1	AR	4
POR	AR	9
POU3F3	GOF	3
PPCS	AR	2
PPIB	AR	1
PPP1R15B	AR	2
PPP2CA	DN	10
PPP2R1A	DN	8
PPP2R5D	DN	14
PPP3CA	GOF	3
PPT1	AR	27
PRDM12	AR	2
PRKDC	AR	3
PRKN	AR	16
PRMT7	AR	3
PRNP	DN	17
PRPF4	DN	1
PRSS1	GOF	7
PSAP	AR	7
PSAT1	AR	3
PSEN1	GOF	68
PSEN2	GOF	2
PSMB8	AR	3
PSMB9	AR	1
PSPH	AR	3
PTCH1	HI	14
PTEN	HI	108
PTPN23	AR	6
PTRH2	AR	1
PTS	AR	17
PUS1	AR	4
PUS7	AR	1
PYCR1	AR	17
PYCR2	AR	10
PYGL	AR	10
PYGM	AR	25
QDPR	AR	8
RAB11B	DN	2
RAB18	AR	2
RAB23	AR	1
RAB27A	AR	4
RAB33B	AR	3
RAD51	DN	5
RAG1	AR	35
RAG2	AR	19
RASA1	HI	3
RASGRP1	AR	1
RASGRP2	AR	7
RBM28	AR	1
RBP3	AR	1
RECQL4	AR	2
RELN	AR	8
RET	HI	49
RFWD3	AR	1
RFXANK	AR	2
RIT1	GOF	15
RNASEH1	AR	2
RNASEH2A	AR	8
RNASEH2B	AR	4
RNASEH2C	AR	5
RNASET2	AR	1
RNPC3	AR	1
ROBO3	AR	2
ROR1	AR	1
RPGRIP1	AR	1
RPGRIP1L	AR	4
RPS17	HI	1
RPS19	HI	7
RPS24	HI	1
RPS26	HI	1
RSPO2	AR	1
RTN4IP1	AR	3
RYR2	GOF	119
SACS	AR	6
SAG	AR	1
SAR1B	AR	4
SARS2	AR	5
SASS6	AR	1
SATB2	HI	16
SBDS	AR	7
SCARB2	AR	1
SCN10A	GOF	1
SCN1A	GOF	373
SCN2A	GOF	174
SCN3A	GOF	9
SCO1	AR	3
SEC23A	AR	2
SEC24D	AR	7
SEPSECS	AR	3
SERPINA1	AR	18
SERPINH1	AR	2
SETD1A	HI	1
SFTPC	GOF	4
SGPL1	AR	3
SGSH	AR	29
SHANK3	HI	8
SHH	DN	9
SI	AR	4
SIGMAR1	AR	4
SIN3A	HI	1
SLC12A1	AR	4
SLC12A5	AR	10
SLC1A1	AR	2
SLC35A1	AR	3
SLC4A4	AR	1
SLC9A1	AR	1
SLCO2A1	AR	1
SLURP1	AR	4
SMAD3	HI	15
SMAD4	HI	43
SMAD9	GOF	1
SMARCB1	HI	11
SMCHD1	GOF	20
SMO	AR	7
SMPD1	AR	73
SNCA	GOF	4
SNX10	AR	2
SOS1	GOF	45
SOX10	HI	12
SOX11	HI	8
SOX2	HI	8
SOX5	HI	11
SPARC	AR	2
SPAST	GOF	54
SPRED1	HI	2
SPRTN	AR	1
SRC	GOF	1
SRD5A2	AR	26
ST14	AR	1
STAC3	AR	1
STAMBP	AR	7
STAR	AR	11
STAT2	AR	2
STK11	HI	21
STN1	AR	2
STRADA	AR	3
STT3A	AR	1
STXBP1	HI	61
SUCLA2	AR	7
SUCLG1	AR	8
SULT2B1	AR	4
SUMF1	AR	12
SUOX	AR	1
SYNGAP1	HI	15
SYT1	DN	6
SYT2	DN	1
TAC3	AR	2
TACO1	AR	1
TAF13	AR	2
TAF2	AR	2
TAF6	AR	2
TALDO1	AR	3
TASP1	AR	1
TAT	AR	5
TBK1	DN	4
TBL1XR1	HI	27
TBX19	AR	1
TBX3	HI	2
TBX5	HI	14
TBXT	AR	1
TCF12	HI	3
TCF4	HI	16
TDO2	AR	1
TDP1	AR	1
TEK	GOF	6
TENM3	AR	1
TENT5A	AR	1
TF	AR	6
TFAM	AR	1
TG	AR	12
TGIF1	HI	3
TGM1	AR	1
TH	AR	10
THG1L	AR	1
THOC6	AR	4
TIMM22	AR	1
TJP2	AR	2
TKT	AR	1
TMX2	AR	1
TNFRSF11B	AR	4
TNFRSF4	AR	1
TNFSF11	AR	1
TNNI2	GOF	3
TNNT2	DN	29
TNNT3	GOF	2
TONSL	AR	2
TOP3A	AR	1
TOR1AIP1	AR	1
TPI1	AR	7
TPK1	AR	6
TPM2	GOF	11
TPP1	AR	25
TPRKB	AR	2
TRAF3IP1	AR	4
TREM2	AR	3
TRIM2	AR	1
TRIM37	AR	1
TRIO	GOF	10
TRIP13	AR	5
TRMT10A	AR	1
TRMT10C	AR	1
TRNT1	AR	6
TRPA1	GOF	1
TRPC3	GOF	1
TRPM4	GOF	4
TRPV3	GOF	8
TRPV4	GOF	43
TRPV6	AR	8
TSC2	HI	63
TSEN15	AR	3
TSFM	AR	2
TTC8	AR	2
TTPA	AR	7
TUBA4A	DN	5
TUBGCP4	AR	1
TUBGCP6	AR	1
TUFM	AR	5
TULP1	AR	17
TYMP	AR	48
TYROBP	AR	2
TYRP1	AR	7
UBA5	AR	5
UBE2T	AR	1
UBE3A	HI	22
UBR1	AR	1
UCHL1	AR	2
UFC1	AR	2
UFM1	AR	1
UGDH	AR	20
UMOD	DN	7
UMPS	AR	2
UNG	AR	1
UQCRB	AR	2
UQCRC2	AR	2
UQCRFS1	AR	1
UQCRQ	AR	1
UROS	AR	14
USB1	AR	4
USH1C	AR	3
USH1G	AR	1
VAMP2	DN	6
VAPB	DN	2
VDR	AR	14
VPS33A	AR	1
VRK1	AR	3
WARS2	AR	4
WEE2	AR	2
WNK4	DN	6
WNT3	AR	1
WRN	AR	2
WWOX	AR	1
XDH	AR	1
XPA	AR	1
XPNPEP3	AR	1
XPR1	DN	3
XRCC4	AR	3
XYLT1	AR	1
YARS2	AR	9
ZAP70	AR	10
ZBTB24	AR	1
ZMPSTE24	AR	2
ZMYND11	HI	1
ZNHIT3	AR	1
